"id","productid","userid","profilename","helpfulnessnumerator","helpfulnessdenominator","score","time","summary","text"
"4","B000UA0QIQ","A395BORC6FGVXV","Karl","3","3","2","1307923200","Cough Medicine","If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal."
"126325","B0000CES0O","A2J0EIL4HFJ4PP","Landscape guy","2","2","4","1337558400","Very good","""Product was delivered as promised. The seeds germinated and are growing. One of my cats has eaten some"
"126338","B0000CAV3Y","A5HVN6DW5S9DF","""L. J. Pizzuto """"Ladygrey""""""","0","0","4","1174608000","Natasha's cafe coffee beans","The coffee beans were as discribed and of good quality although I did think I was getting more than I did. Very hard to see the period in front of the 5lbs."
"126342","B0025U8ILG","A1GYEGLX3P2Y7P","Shala Kerrigan","0","0","4","1273622400","Can't beat this for convenience if you have teens","""I'm embarrassed a bit by how much of this we use since pizza sauce is so easy to make. I have some pretty serious back issues though and can't always cook for my family the way I'd like to.<br />This is just a wonderful thing if you have kids. My children are teens now"
"17","B001GVISJM","A3KLWF6WQ5BNYO","Erica Neathery","0","0","2","1348099200","poor taste","I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them."
"68","B005DUM9UQ","A8OFFIAL6XTOH","Bill Shirer","0","1","2","1338422400","Taste is not so good.","""I purchased the Mango flavor"
"126343","B000BQWZ2E","A28QTVEFQX6Y9X","Annette","0","0","4","1314489600","Breeder recommended","""No complaints about this food.  Our breeder recommended it for our 8 wk old Frenchie and this food seemed good in that Luna ate most of it and her stool was pretty firm.  Gas was not a real problem.  We switched to Blue Buffalo"
"126355","B0001M10PQ","A145DTD5BAQT77","S. Gulliford-Gosnell","0","0","4","1299628800","Love this stuff!","""Our entire family loves this seasoning"
"126362","B00534IT4W","A3RJW6YEUI22D3","A. Chmielarczyk","4","4","4","1264291200","flavor on my table","""Hickory smoked sea salt """"Durango"""" has a wonderful aromatic scent and flavor.  There is a strong measure of salt due to the coarse sea salt"
"126367","B001E5E2G8","A250FFYP8R4OMJ","Cee H","0","0","4","1342051200","good","I've never been wild about bread sticks so when my sister served Italian with real bread for everyone else and bread sticks for me I was expecting to be disappointed--however these had a very satisfying crunch so I didn't feel mistreated at all. Now I make sure I have them on hand if I do a quick spaghetti meal. They seem as good as the wheat variety."
"75","B001EPPI84","A3Q0IDQ03S0158","Jen","0","0","2","1287705600","nothing special","It is okay.  I would not go out of my way to buy it again"
"111","B000J0HIT2","A1VKJN5Y1C7S5Y","""Wilhelmina Robinson """"Wilhelmina Robinson &#34...""","2","2","2","1250812800","Low Carb Angel Food Puffs","""I was diappointed in the flavor and texture of this mix.  I usually like most of the Low Carb things I have tried"
"132","B003OB0IB8","A2DLRG3YX6A2ZU","luckybabe","2","3","2","1323820800","Not for me","""I must be a bit of a wuss"
"147","B0017I8UME","AKX0RW482WAFD","Barbie","2","2","2","1224633600","BROKEN BOTTLE BOTTOMS!","""The SALSA smelled delicious"
"126375","B0000CAV3B","A1AY1VRUE90BCZ","Mythos","0","0","4","1301529600","A Good Turkish-Style Coffee","""This coffee is flavored with cardamom and clove and makes for an interesting compliment to your breakfast. According to the Natasha's Cafe website"
"126378","B0045IRVTG","A2MLVRK0WCRA9W","D. Lacey","1","1","4","1311984000","Less for more?","""I've noticed a decrease in the quality of this product over the past year. Has Timothy began utilizing the less-for-more ideologue (less content in same package)? Delivery was prompt. Still"
"126379","B0048D1IWE","AN1SXX9OGHJSU","Doris L. Perry","0","0","4","1338940800","Not as good as the old gum","""I really like the flavor of the Stride<br />Forever Fruit. The Stride 2.0 still has a good flavor"
"126395","B001JBAVL2","ADK8HJREMIYTD","Angel Domingo","1","1","4","1298160000","""Artisan Collection"," Crespone & Cacciatore"""
"126398","B002HFUHQ8","A231PBPQL78CVK","John","0","0","4","1324944000","Good when traveling","Good option for those that use Coffee-mate liquid but can't find it when traveling.  The stick packaging is easier to travel with and the larger case option was good since often hard to find this in the supermarket."
"126400","B002HFUHQ8","ALA68XRB2GI0Q","""Pamela R. Matiste """"precious p""""""","1","2","4","1272499200","Convenient Product for the office","This is a great product to keep in the office just in case you run out of creamer."
"126405","B001HTIPU0","AX9QZGAJOZ96O","Lotus","12","13","4","1302220800","Too Expensive Here","""I like the product itself but price here is too high. Now (Apr 2011) you can buy the same set of 12 tomato paste jars at vitacost for $33.54"
"126407","B001HTIPU0","A2A9X58G2GTBLP","Wolfee1","1","1","4","1311811200","DIFFERENT TOMATO PASTE!","""Bionaturae Organic Tomato Paste"
"201","B0028C44Z0","A1UF2VN3O50NGW","Lou","0","0","2","1330819200","Altoids Smalls","""Even with small containers"
"213","B0009XLVGA","A2LWOW7SO2QPML","JHexatthewheel","0","1","2","1310515200","Nearly killed the cats","""Too much of a good thing? We worked this kibble in over time"
"225","B001EO5ZMO","A3A4GAPXRX5SHM","markiz","1","3","2","1282435200","Not a real tea","Herbal additives in this blend destroy real tea taste. It is only for people who like herbal taste. I don't."
"236","B001HTL6CY","A1KLA02LZXAT46","Dandelion","0","0","2","1302307200","""Taste is neutral"," quantity is DECEITFUL!"""
"246","B001EO5ZMY","A3E81HFGNME65J","suave","1","9","2","1245456000","Disappointed","""I've been drinking this tea for the past 8 or 10 years"
"256","B0048IC328","A375ZA7IJH2ZGQ","Jihan S.","3","7","2","1317772800","""If you can't handle caffeine"," this is not for you."""
"259","B00821UN4M","A3MQSTAAJSUGF9","mommy11","1","1","2","1345161600","Disappointed!","""This product has a strong after-taste of Crayola crayons!<br /><br />I am in the process of trying different brands of coconut oils for cooking purposes.  Upon opening the plastic container"
"391","B003XT4AV0","A2FZRO46DF0UHN","""D. Mertins """"AUDIOGURU""""""","1","1","2","1292630400","Cat won't go near it!","""My cat will go for a day"
"126411","B001PO7FDU","A43QI3RKEM9S0","Sleeping Beauty","22","24","4","1265932800","Great value!","""I have purchased more expensive truffle oils before and they have all been wonderful"
"126416","B001PO7FDU","A20IQPHVIHSIQU","""Peter B """"Picky about details""""""","6","6","4","1278460800","Base Oil has changed","Although the product description notes that Grapeseed Oil is used as a base for this infused oil the shipment I received uses Sunflower Oil."
"126425","B001PO7FDU","A262EOZYNB6L2H","Cher","1","1","4","1325548800","Great Accent!","""While I can't comment on the shelf life of this particular oil like other users"
"126426","B001PO7FDU","A2YVDKPJ9BRPAD","Mitsurugi","1","1","4","1325116800","Wonderful flavor and aroma","""This oil is very potent; upon opening the bottle for the first time"
"126431","B001PO7FDU","AHL0MILCCHBAR","Soo Young Kim","0","0","4","1342656000","Sound product and a great buy","""I first bought this reluctantly out of dire need and was really surprised at how good it is. I've bought many"
"126434","B001PO7FDU","A13CEEFTSM9ZAZ","""T. Burke """"Tom Burke""""""","0","0","4","1312156800","Truffle oil is fine","""I bought the truffle oil to add distinctive subtle taste to certain foods.The infusion white truffle oil does add this earthy taste. It is a powerful taste and can be a turn off very quickly with too much"
"126437","B001PO7FDU","A15EWYIFEOH5D1","Brent Goodwin","0","0","4","1291766400","Expensive taste for not so much","""This year I have expanded my cooking by adding new flavors to my cooking easel.  One such addition was White Truffle Oil.  My friend is an avid mushroom hunter in the bay area and one day while wandering around San Francisco"
"126442","B001PO7FDU","A1CVEGNOQ62A25","Edward","3","8","4","1280707200","Not for me..","""I saw a recipe that everyone was raving about and one of the steps was to use this oil. I had never Truffle oil before and was curious. I purchased this one since it seemed to be a decent seller with ok reviews.<br /><br />As soon as I open the container I thought phoowa.. that is different and not in a nice way.  I went ahead anyway and used the oil hoping that once cooked it might infused some wonderful favour into the dish. It didn't.  The taste was exactly how it smelled and it practically turned my stomach. I have an iron clad stomach and rarely does something make me feel ill.<br /><br />I have given it 4 stars because I am sure the product itself is exactly what is being presented. I am just letting people know that if you have never tried Truffle oil before"
"126443","B0002ZAE90","A2DN0DF3IE4K4M","puppyraiser4theblind","5","5","4","1136937600","Indestructable!","""I have a lab puppy"
"126449","B0002ZAE90","AF8SREA2XE7BJ","M. Karazim","0","0","4","1221868800","Strong","""We've had this bone for about a year now"
"126459","B001688E4Y","A3EQ5WS4U1OG1B","""K. Johnson """"kimson""""""","1","2","4","1264982400","Andes Peppermint Crunch baking chips","""When we could not find the chips locally"
"126460","B000PWYJP0","A2FS9CYCWC6HLW","""Anna M. Ligtenberg """"AnnaLovesBooks""""""","2","2","4","1218931200","M&M'S Peanut - 56 oz. bag","""As of August 17"
"126467","B0014EOVGA","A1GTI5MRVP7AE","J. Willis","1","1","4","1264550400","Campbell's Vegetable Beef Soup!!","""This is a very tasty Beef vegetable soup with plenty of vegetables and beef"
"126481","B000LRFZ1Q","A1G3DQVS8CPKX3","""P. Reck """"CitizenPete""""""","0","0","4","1350518400","Be aware of what your buying!  Requires constant refrigeration.","""I am double posting this review for both the thick cut and filet versions of this product. So you may see it twice -- YES"
"126492","B000XHTD1W","A82G34PJ0HIXL","Marilyn Mercury","2","4","4","1260230400","Like it","""Delicious bbq sauce. Has a spice to it. Thick too"
"126495","B001717TPA","A16SIJOB8BD6C7","Heather Rose","2","2","4","1294531200","Not Bad","""These steaks were pretty tasty"
"441553","B000EVQWK2","A8BZ0FWGC2XJX","Carol C-H","1","3","1","1307145600","These are like Fruit Gems?  I think NOT!!","""These arrived today.  Based on another review"
"484","B000G6RYNE","AOHRHPJP38LLT","""S. Samoranos """"Inspired cook""""""","0","0","2","1214784000","70% of the chips in the bag are over cooked","I like Kettle chips but was really disappointed with this order because they were over cooked.  I bought a bigger sized bag from Costco and the chips were all cooked perfectly. So I don't know why these were different.<br />Will never buy these chips from here again."
"488","B000G6RYNE","A1WQ3UGXPT15VI","""JavaJewel """"It's all  water under the bridge...""""""","0","0","2","1213920000","Not  Very Creamy or Chivey...","""I really love Kettle brand chips"
"491","B000G6RYNE","A3TEMXOLE1APPZ","""A. Nichols """"upteeajn2""""""","0","0","2","1210809600","Good and tangy","""I agree with the other review"
"502","B000G6RYNE","A3TX8RH943OLBM","annie","3","5","2","1214006400","salt and vinegar chips","It was a great value and I like the package size but not vinegary enough for me. Won't order this brand again. Great chips otherwise."
"508","B000G6RYNE","A39Y59C6FTC0GL","Christine","1","2","2","1247788800","""Love Kettle Chips"," but not this flavor!"""
"520","B000G6RYNE","A4NDPXCYKRCY2","Janet R. Miles","0","1","2","1258588800","POTATO CHIPS","""Being a salt-free product is why I purchased this"
"536","B000G6RYNE","A3P8OWYR65G9UF","M. Martin","3","6","2","1285200000","Kettle Chips","""Got these Kettle Chips Sea Salt & Vinegar (15 5oz bags) and was not impressed. Tasted kind of flat. I was eating some out of the bag"
"547","B000G6RYNE","A21D8LH2CD2EIZ","Tim","1","4","2","1286928000","""Taste terrible"," way too strong"""
"553","B000G6RYNE","ATZ0P4653KL13","The REAL Radiodude","1","5","2","1284768000","Not so good.","""If you are looking for STRONG S/V flavor these definitely aren't for you. Very mild in comparison to many others. I live in TX and I can tell you I've tried ALL S/V chips I can get ahold of. The best of the best are HEB (storebrand) and World Market. Bob's and Zapp's Aren't bad. From a chip standpoint they have typically great kettle crunch"
"554","B000G6RYNE","A2GDBBZMMBX1L","M. Barron","1","5","2","1235001600","Bags O' Salt with chips added.","""I don't know if it was the case of chips we received or what"
"594","B000G6RYNE","A3L5L1NZIKLSJU","""E. Demir """"emiko""""""","1","1","2","1289433600","""Kettle Chips"," Sea Salt"""
"621","B000G6RYNE","A2PYL0PSX5MQYQ","JS from Maryland","5","7","2","1306281600","Kettle Foods Spicy Thai Chips","""The Spicy Thai chips used to be the best tasting chips on the market.  However"
"716","B000G6MBX2","A228P3VH7SFBHG","J","1","2","2","1219449600","Meh","""I guess there's no telling what will tickle the palate.  I'm a huge Tabasco fan"
"724","B000G6MBX2","A1ABDQ02BCIGYQ","HM","3","7","2","1173830400","""Not"," my favorite chip"""
"726","B000G6MBX2","ARLTWKV2AUJ2F","koboilila","1","4","2","1237939200","Very Tasty - BUT BEWARE","""Long story short - these are very tasty. We have purchased a number of flavors from this brand"
"737","B001HTKZ5S","A2AF5SS29LC4BB","""Andrea Zalesakova """"AZ""""""","1","1","2","1269993600","$4 down the drain","""Well"
"250074","B0029NII3C","A2830ZHYJP2J1U","B. Grove","0","0","3","1338595200","Normally a favorite","""I like the food in the whiskas pouches because they look a lot more """"real"""" than some other pouches. Usually my cats love this food but lately they haven't been eating it as much. Maybe it was just the one box? I'm willing to stick with it through this order at least"
"441554","B000EVQWK2","A2Z47P2ETODWHH","Kate","4","10","1","1173312000","Not Your Typical Haribo","""I've tried many"
"441556","B000EVQWK2","A3NKN3LX189T1N","Michael","2","13","1","1193097600","Very disappointing...","""I'm surprised Haribo allows their name on this product. It's nothing like their more traditional fare (Golden Bears and the like). It's something that I would expect to see from Brach's. I won't eat it (and neither will my grandkids). As it's said"
"126503","B008JXJE98","A2JU0TWYZU705Q","Contessa","0","0","4","1345766400","Amazing Raw Vegan Snack","""Coco-Roons are the perfect size for an after dinner dessert or a mid-day snack.  Typical raw """"bars"""" are usually more of a  meal"
"126513","B000EGZ97Y","A2DXCIAEZ0LGLV","Go Girl","4","5","4","1254787200","""Great Sticky Rice"," a bit pricey"""
"126551","B001R3BQFW","AUOK9MIT0NAM2","Beverley","1","1","4","1331683200","Good product","I'm a soda drinker and don't like water and these packets are so great to have. Great flavors and something different if you do want a break from soda. Totally sugar free and refreshing. And you're just making enough for one serving."
"126560","B001R3BQFW","A1NPEPZYBCA0CY","Isabella Longoria","0","0","4","1300233600","Drink Mix","Great price for the amount.  Some flavors are better than others for me personally.  I appreciate some have antioxidants.  No yucky aftertaste!"
"126578","B001EUG65I","A2A5YRK8XOF1J9","sam","1","1","4","1340928000","great!","""great product. my lab loves it. but she goes through it in 15 minutes. thats what scares me!!! she breaks it up into bits and I am always scared that she will choke on one. otherwise"
"126584","B001EUG65I","A3G5DSR3NVJJFY","""Z. Abedin """"Z Unit""""""","0","0","4","1350086400","does the job","""For the price"
"126588","B001EUG65I","A1FNBHXLNEFIPD","Paul Dunn","0","0","4","1342051200","Not bad","""Our 5 year old boxer ate these with in 10 minutes. I was hoping for something that would last longer"
"126598","B001EUG65I","A3G9S3UQJHV4K8","M. Watson","0","0","4","1313798400","good for variety","""My dog loves these.  A little pricey"
"126601","B001EUG65I","A39NUQ4C78FRWC","MBrenn","0","0","4","1300752000","Puppy LOVES these","My puppy absolutely loves these! I just wish they lasted longer or came in a bigger pack that was more cost effective - it becomes quite expensive to keep them stocked for him."
"126611","B003IHO8LY","A22M9RHW6AHAYW","Melinda","7","8","4","1284940800","Yowza","""I don't usually write reviews for things"
"126618","B003IHO8LY","A1TGK5KADIIL2V","Ren","2","2","4","1307750400","pretty good","""I used to have some trouble falling asleep"
"126628","B003IHO8LY","A36T7Q4I05J43S","Steven H.","1","1","4","1338163200","Neuro Sleep","Glad I heard about this product and tried it. Helped put me right to sleep drinking 30 minutes before. I'm Army so the sooner I can get to sleep the better. Loved it!"
"126636","B003IHO8LY","A1T8H0RNVFET3Z","spinstapink","1","1","4","1323475200","Did me pretty good","""I'm a fairly regular user of Ambien"
"126637","B003IHO8LY","A1RY2D4892ALOT","jules","1","1","4","1320105600","good but cheaper at store","""I really like the neuro sleep.  It has a good combo of sleep aids.  Would recommend trying a little at first"
"126638","B003IHO8LY","A1Z4LX3Q1YMF84","""Cindy A. Osterhout """"Cindy O""""""","1","1","4","1318636800","This Works","""I really like this Supplement Drink for Sleep. Rarely"
"126642","B003IHO8LY","A10S8FX62FGBJ9","""Nancy Gouletas """"Loving Grandmother""""""","0","0","4","1349654400","Neuro Sleep","I have had problems getting to sleep for years and is nice to finally find a product that works. I  have told friends about this product..I just want to add that this product is not addictive and is all natural ingredients too.  Try it for yourself!"
"126648","B003IHO8LY","AF5USVGE27WI5","justme","0","0","4","1346630400","Very effective","""I have been using Neuro Sleep for better than a year for my adult disabled son"
"126664","B003IHO8LY","A1D4D0UF2D4BGX","Michael C. Gurney","0","0","4","1324080000","Tasty and gives a good night's sleep","Product works well except after drinking a full bottle I invariably have to get up during the night to use the bathroom :-)"
"126669","B003IHO8LY","A2B9LXMKTG7FNS","Paula Giorgio","0","0","4","1316908800","jesus! It works!","""This product gets 4 stars because it ZONKED me to sleep. However"
"126681","B003IHO8LY","A3C2APLEPOA41H","James","0","1","4","1345507200","Wow","""Holy crap"
"126699","B002NGFI60","A2AXRINZGFJIEE","""EleganzShopper """"EleganzShopper""""""","2","2","4","1267228800","Dark Oolong with a lot of flavor & color","This is a dark Oolong. It has a lot of flavor with it's own light fragrance. I make my tea with three level table spoons per 9oz. teapot. I don't let it soak too long; so there is a plenty of flavor over and over as I make additional infusions. I used hot water and the resulting tea was not bitter; but smooth. This is a good buy for the price. The leaves are not curled or rolled; but flat."
"126714","B001QXZ7L2","A29313797NGT9L","Eddie Wannabee","2","2","4","1252713600","Enjoyable and Healthy?","""I never before found a can that combines brown rice"
"126721","B003IHO8LE","AP5E15NQUYN8V","Brit K","11","11","4","1328054400","Hmmmm....it does work.","""I was somewhat in the dumps today because I am on a diet and I was feeling deprived"
"126724","B003IHO8LE","A8CCV30FR9I64","""S. Smith """"Bookophile""""""","5","6","4","1323043200","NeuroBliss works for me!","""I'm sure that NeuroBliss won't work for everyone because people have different body chemistries.  I suffer with anxiety and depression"
"126730","B003IHO8LE","A1CJG05ZS2ASAS","Elah806","1","1","4","1337731200","You go from -_- to :D. Euphoria in a bottle. HOWEVER...","""I tried Neruo Bliss on a whim and I am really"
"126731","B003IHO8LE","A1N5R17IH4V3UY","Turtle","1","1","4","1336521600","Tasty and effective","""It tasted good"
"126739","B003IHO8LE","A3ALV2RXFA2PCI","Shu-Yung Wu","2","3","4","1315267200","Tastes Great.","""I can't say if the supplement part works or not"
"126740","B003IHO8LE","A3FH37O1JWFKR2","Quang Ngo","2","3","4","1314921600","""Didn't know exactly what to expect"," turned out better."""
"126741","B003IHO8LE","A1ZR68U4ZVLQCQ","Kenneth R. Hunt","0","0","4","1351209600","Subtle yet effective","""Though I"
"126746","B003IHO8LE","ASD1FR5AAKCQC","Kribrenn","0","0","4","1345420800","Love me some Bliss!","""Honestly"
"126767","B0049T0DXC","A3IORCOGSJW1QA","Lee Haskell","7","7","4","1303257600","NOT TRUE! >> This review is from: The Goodlife Recipe Catnip Delights Cat Treats (Audio CD)","""Not sure why it notes immediately above in orange font that """"This review is from: The Goodlife Recipe Catnip Delights Cat Treats (Audio CD)""""<br /><br />It's a CAT FOOD/treat!  NOT a CD.<br /><br />I received two trial sizes of these THE GOODLIFE RECIPE catnip delights and decided to see if any of my cats would eat it. Well"
"126768","B0049T0DXC","A244DWHGPEJ7RA","Duck","4","4","4","1318377600","Not healthy-- but cats GO CRAZY for it!","""I aim to feed my cats only the best nutrition. I received a sample of this with an order from Pet Food Direct and let them try it (like humans"
"441593","B000F3Q6W8","A2H9ZOPXI4DNPA","Gloria J. Grossheim","0","1","1","1342051200","poor packing","""I received this product which was to be a gift.  Upon opening the box"
"441613","B000CQ4DRS","A1RKYS3YJQ5V43","J.W.","1","2","1","1262476800","Really Bad","I keep hearing about how wonderful is Annie's pasta so I tried this product. A big mistake. The sauce is extremely SALTY. I should not have purchase this product as now I have so many boxes remaining. I'll just keep the pasta and toss out the sauce packets. Stay away if you do not like your food over-salted."
"441634","B0030N5JIM","A1CIZ1YE8CL6XM","Mr. Ryan M. Lamar","2","5","1","1326672000","""Tainted food"," Nov-Dec 2011"""
"441673","B001HTIPAU","A12E3M3DN8CW12","MikeandJudy","0","1","1","1313971200","Complete disappointment","""This product arrived in diplorable conditions with some of the bottles crushed at the top base causing the water to leak hence the box was soaked.  Further"
"250076","B0029NII3C","ASALATXVOO93K","""OC Mom """"OC Mom""""""","0","0","3","1337040000","My cats love this smelly fish","""My 2 cats are picky tuna lovers and this was all that was available at the time. They still love this"
"250089","B0029NII3C","A1NK7L4ZS8CNWH","R. A. Hoerst","0","0","3","1323302400","cat rejected one variety","""I like the convenience of always having cat food on hand"
"250159","B003DNL9YM","A29313797NGT9L","Eddie Wannabee","0","0","3","1321228800","Has its moments!","""Something about Crystal Light that I have been unable to shake off. The chemical side of this product sometimes overpowers the desire to believe one is drinking an all natural combination of Cranberry Apple. Happens with most flavors"
"250167","B001EQ4K78","A2ZH4HDFBJB91U","Jonny","0","0","3","1294185600","Decent Quality","""<span class=""""tiny""""> Length:: 0:48 Mins<br /><br /></span>This white tea is good quality"
"250183","B000FGXT3E","AKACGHPVILE9R","""Sophronia """"Euphemia""""""","0","0","3","1314144000","Not Strong Enough With Cream and Sugar","""I think I need to look for an Irish Breakfast tea because this is not dark/strong enough for me.  By the time I add sweetener and cream I dont get the same taste I am looking for.  What I would like to see """"Two Leaves and a Bud"""" come out with is a:<br /><br />Decaf Irish Breakfast Tea<br /><br />But on its own with no cream just a little sweetener it is ok"
"250184","B000FGXT3E","A2T4VF5UGKUIE3","D. Carraway","3","5","3","1192147200","""Decent tea"," but lots of packaging"""
"441676","B0028W3NU2","A397CWU6DM3O5G","ganka","6","7","1","1286496000","A step up from teabags","""The tea is definitely a step up from regular tea that you get from your grocery store packed in teabags. There was almost no """"dust"""" of broken leaves in the tea. But"
"441678","B007CNAOAY","A42O1871PA623","Margo E. Dern","0","0","1","1331856000","Rip Off","""These pistachio nuts were listed as LARGE - they are not.  Since thse nuts are in the shell they must be partially opened in order to get the nut meats.  Almost 3/4 of this package contained small"
"441680","B006H33OOS","A1OLEDIC285VO7","Cindy Van Linden","0","0","1","1343174400","SICK & STINKY","THIS WAS THE WORST SMELLING BULLY STICK I HAVE EVER PURCHASED.  HAD TO THROW IT IN THE TRASH.  EVEN THE NEIGHBORS WHO WREE OVER STANDING BY MY DOG EATING IT COULDN'T BELIEVE HOW BAD IT SMELLED.  ONLY THE ODOR FREE BULLY STICKS FOR ME!!!"
"441692","B0005Z8NCM","A3R4QL00BW7S51","Randall F. Smith","0","0","1","1327017600","Colgin LIquid Smoke - don't bother","""I've used this many times and each time it's been a huge disappointment.  The flavor is weak and dissipates really fast.  Wrights Liquid smoke is better in every way"
"441693","B0005Z8NCM","AVJXIJYKA9UFB","E's Mom","3","7","1","1338249600","""Caramel Color is not """"Natural""""""","""I have been searching for a Liquid smoke to use for a vegan bacon recipe. I came across this and see the ingredients for this product and """"caramel color"""" listed. This is not """"natural"""" by my standards. I just recently read some articles regarding food additives that stated caramel color is a known carcinogen and one of ingredients in processed food that is so not good for your body.  If you are concerned about your ingredients"
"441695","B001JP4YB6","A2WAB1XWFQFSIB","diane77","0","0","1","1335657600","This Is Not From Tavalon Tea. This Tea Was Clustered.","This tea is not from Tavalon tea. The chrysanthemum tea was in one clump. That's bad quality tea. I will not choose this product again."
"441704","B00152VHZO","A1WGH8V8P9R15A","""Bo Jenkins """"Dog Lover""""""","8","9","1","1251763200","Misleading product info","I ordered this item having read that the item weight was 3.5 pounds and the shipping weight was 4.5 pounds. I did read that there were 48ct in the box. So I paid my 12.99 with free shipping (other items brought me to the $25). When I got the box- tiny- it was a 17.28 ounces no where near what it claimed. So I got my money back. Be warned this box is only a little over a pound."
"441713","B001IW9A50","A3M04RMMM5FKJG","""Frank Fenderbender """"christopher94523""""""","1","6","1","1337212800","""if getting shot through the heart with HFCS is """"wild west""""...""","""I liked Gene Autry and Roy Rogers because they fought con-artist/swindler bankers"
"126769","B0049T0DXC","AE0X5OMQTVWED","Joan","4","4","4","1317081600","It's like kitty crack","""I don't know why cats need """"treats"
"126782","B000IKF714","A2I18AO597DSDI","""David Pearlman """"sound fanatic""""""","1","1","4","1303776000","Wow...A truly high quality malted milk ball ... totally unlike the junk that passes for malted milk balls @ your local drugstore","""I have memories"
"126787","B001ANXX8W","A39H2Y00W81DV3","""Joseph N. """"Joseph""""""","1","1","4","1294099200","Fantastic Tasting RTD","""After doing some research on the best RTD Protein Shakes"
"126792","B001ANXX8W","A2RX3UXN0JKWCL","""Benny Blanco """"Corona Queens Born""""""","0","0","4","1194393600","LG BABY!","""Another instance of LG providing a quality product.  Helped keep my strength up even after an involuntary layoff of almost 2 weeks.  A little pricey for the casual supp user"
"126820","B0050OD8UU","A2NTYVVZQSF8ZE","""Robin L. Reichard """"Robin""""""","0","0","4","1348099200","Enjoyed This Product","""This was the first time I had tried this product. Aside from it being somewhat expensive"
"126822","B007R8Y3EW","A32EOHLFZYXJEP","Jaylia3","2","2","4","1340150400","Subtle flavor and a few surprises","""The pumpkin flavor is on the subtle side"
"126823","B004RZU3AQ","A1R9JM6RLUCF8","organiclover88","2","2","4","1300060800","Gorreana Tea tastes so fresh and healthy!","""I have to say"
"126831","B001EQ5H6Q","A33B543V4MT31J","Carole","0","0","4","1350345600","Very easy to use","""I tried a package of the demi-glace when a sauce I was making failed.  It changed<br />the taste of my dinner"
"126846","B001FYUVLI","A3NMA7RSO2HMBG","BPF","9","9","4","1270771200","Doesn't last long for agressive chewers","I don't like all the controversy surrounding rawhide bones and don't want take the risk of my Lab getting a blockage so I exclusively give him Booda bones which are safe. My lab is an aggressive chewer and considering this is edible it makes him that much more excited as he LOVES food. He enjoys these bones but devours them in less than 20 minutes. I usually give it to him for a few minutes until he eats half of it and then I take it away to save for next time. This obviously would get very expensive so he has his non-edible Nylabones most of the time and these are special treats."
"126852","B001FYUVLI","A13NSUJ2BDIFAC","Mike P","2","2","4","1312070400","More of a treat then something to keep your dog busy.","""Let me start by saying our dogs love these. As soon as they see the bag they stop whatever they're doing and run to their crates (where we typically give these to them). However"
"126856","B001FYUVLI","A2XAKGRUHIE2ZA","""P. Stein """"Bengals Fan""""""","1","1","4","1328054400","""Dog really likes"," but they go fast."""
"126862","B001FYUVLI","A27SNFI60AS92M","""Mary C. Collins """"Fiction lover""""""","1","1","4","1285372800","Awesome bones","My dogs beg for these treats every night after dinner.  I always make sure I have plenty of supply at hand."
"126885","B000ZONYPE","A1N0J7V7LRJCLK","C. Slack","2","2","4","1340496000","Watch the YouTube video on how to set the trap!","""4 college educated people couldn't figure out how to set the traps! There's a little hook on the setting rod that needs to hook onto part of the trap. Hard to explain how to set the trap. Go to YouTube and search for """"how to set Sweeney Gopher Trap"""".<br />As for how effective they are"
